Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Light emitting diode,LED,D1D2,LED 0805,LED_0805_2012Metric,2,~
2,,MOLEX_46436-9327,J1,46436-9327,MOLEX_46437-9327,1,
3,2x15 2.54 mm pitch header,HEADER_2x15,J2,HEADER_2x15,PinHeader_2x15_P2.54mm_Vertical,1,
4,"Jumper, 2-pole, open",Jumper_2_Open,JP2,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,~
5,"Jumper, 3-pole, pins 1+2 closed/bridged",Jumper_3_Bridged12,JP1,Jumper_3_Bridged12,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,~
6,"Resistor, small symbol",R_Small,R1R2,270R,R_0805_2012Metric,2,~
